"id","time_parse","channel","usr_parse","msg_parse"
34661,"2023-12-31 14:54:05","#atropa","xStormsPORTS!~xStormsPO","The suspense of waiting for Atropa Layer 2 is pounding, I'm so excited 😊 😁🌱💦"
34578,"2023-12-31 05:42:15","#atropa","xHysocyaminePLS!~xBetaONE","Hello every, hope all your nights are a happy new years joy."
32260,"2023-12-23 16:30:26","#atropa","ogwebchef888!~ogwebchef","GM"
32231,"2023-12-23 14:18:16","#atropa","FREEDOM_777!sid622718","https://youtu.be/1NhuCMdvldM?si=M0WLTCZb9rQb4Tn4"
31312,"2023-12-21 14:56:28","#atropa","_surfacing8671!~surfacing","https://www.youtube.com/watch?v=fcYY6xwwfCE"
31311,"2023-12-21 14:55:22","#atropa","mariarahel!~maria","really slim shady ?"
31308,"2023-12-21 14:53:19","#atropa","wadadadang!~user","hi"
31177,"2023-12-21 12:38:34","#atropa","ogwebchef888!~ogwebchef","GM"
31174,"2023-12-21 11:24:56","#atropa","_surfacing8671!~surfacing","but a tool that could verify after the fact and not by the owner i think is the bigger picture."
31173,"2023-12-21 11:22:48","#atropa","_surfacing8671!~surfacing","because of little changes. i always verify with hardhat as i deploy"
31172,"2023-12-21 11:22:25","#atropa","_surfacing8671!~surfacing","yup the problem is that if it isnt verified right away its like super hard to get it verified"
31171,"2023-12-21 11:21:32","#atropa","_surfacing8671!~surfacing"," https://library.dedaub.com/pulsechain/address/0xd6c31ba0754c4383a41c0e9df042c62b5e918f6d/decompiled"
31169,"2023-12-21 11:19:55","#atropa","midnightmadwalk!uid622745","1) owner verifies it"
31168,"2023-12-21 11:19:41","#atropa","midnightmadwalk!uid622745","There are two ways we can verify contracts"
31167,"2023-12-21 11:18:02","#atropa","_surfacing8671!~surfacing","@midnightmadwalk something like that and a way to verify contracts that have already been deployed"
31165,"2023-12-21 09:29:38","#atropa","midnightmadwalk!uid622745"," You guys want a web page that displays teddy bear contract functions to get investors trust right ?"
31104,"2023-12-21 03:34:24","#atropa","mariarahel!~maria","https://library.dedaub.com/pulsechain/address/0xd6c31ba0754c4383a41c0e9df042c62b5e918f6d/decompiled"
31103,"2023-12-21 03:29:47","#atropa","ironclad!uid623023","https://library.dedaub.com/decompile?md5=04e7d8c3e00a748acb0ca453561f78fb"
31098,"2023-12-21 03:28:22","#atropa","mariarahel!~maria","we got it before"
31097,"2023-12-21 03:25:29","#atropa","mariarahel!~maria","like a web page and we post it the contract address and it posts back generated submittable source and a little href link directly to the page where we can submit the source in order to get the little verified check"
31096,"2023-12-21 03:23:16","#atropa","livinglikemike!~livinglik","I'd pay $100 too"
31095,"2023-12-21 03:22:01","#atropa","mariarahel!~maria","i'll pay $100 & I'll Use It !"
31094,"2023-12-21 03:21:21","#atropa","mariarahel!~maria","i'll pay $100"
31093,"2023-12-21 03:21:17","#atropa","mariarahel!~maria","i think we should do that"
31092,"2023-12-21 03:20:56","#atropa","mariarahel!~maria","is there some source code generator that could take the binary and produce something to submit to get the verified check ?"
31091,"2023-12-21 03:19:55","#atropa","mariarahel!~maria","i don't see how it is possible"
31090,"2023-12-21 03:19:25","#atropa","livinglikemike!~livinglik","@mariarahel the bounty for the web demo of the binary audit is definitely a step in the right direction for transparency. However, to fully satisfy community trust, shouldn't we aim for complete contract verification on the PulseChain block explorer? A web demo is useful for clarity, but having the contract fully verified on-chain would provide the most robust level of transparency. Can we :livinglikemike!~livinglik@185.187.168.239 PRIVMSG #atropa :consider expanding the bounty to cover full verification? This could significantly enhance credibility for anyone researching the TeddyBear contract."
31059,"2023-12-21 02:43:05","#atropa","mariarahel!~maria","I've already seen you guys do harder :)"
31057,"2023-12-21 02:42:19","#atropa","mariarahel!~maria","maybe could provide a bounty for a web page demo of binary audit through the teddy bear contract as retrievable such that it satisfies everybody's questions ?"
31056,"2023-12-21 02:41:13","#atropa","mariarahel!~maria","I am sure someone has examined it in binary ?"
