"id","time_parse","channel","usr_parse","msg_parse"
34848,"2023-12-31 18:43:24","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=gDKqZuzItC0"
34847,"2023-12-31 18:35:51","#atropa_logged","mariarahel!~maria","And She Never Had To Write Armenian Again"
34846,"2023-12-31 18:34:53","#atropa_logged","mariarahel!~maria","The Year Samantha Little First Established Herself As Queen Elizabeth Of Saint Hill Scientology"
34845,"2023-12-31 18:34:14","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=NxtAjP3UEYg"
34844,"2023-12-31 18:33:27","#atropa_logged","mariarahel!~maria","Obliterated In 1961"
34843,"2023-12-31 18:32:41","#atropa_logged","mariarahel!~maria","Degar is the insult term used for racially related persons in vietnam who don't know about jordan"
34842,"2023-12-31 18:29:01","#atropa_logged","mariarahel!~maria","In BBC English The Vietnamese Language French Of Jordan Are Derisively Called ""Highlanders"""
34841,"2023-12-31 18:28:44","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=LplmCgXCyRU"
34840,"2023-12-31 18:19:27","#atropa_logged","mariarahel!~maria","Sport Buddies Can Fuck Off"
34839,"2023-12-31 18:19:18","#atropa_logged","mariarahel!~maria","Are You Sport ?"
34838,"2023-12-31 18:19:03","#atropa_logged","mariarahel!~maria","Really Bill De Blasio That Ignores The Hurting Profits Of Sportsman Like Behavior"
34837,"2023-12-31 18:18:35","#atropa_logged","mariarahel!~maria","Really Bill De Blasio"
34836,"2023-12-31 18:18:16","#atropa_logged","mariarahel!~maria","Are You Not The Vessel Of The Prince Of Peace ?"
34834,"2023-12-31 18:15:13","#atropa_logged","mariarahel!~maria","Now Go To Hell"
34833,"2023-12-31 18:12:48","#atropa_logged","mariarahel!~maria","Nancy Reagan And Laura Bush Would Have Been Princesses There"
34832,"2023-12-31 18:12:30","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=NtP_kRxes3U"
34831,"2023-12-31 18:11:20","#atropa_logged","mariarahel!~maria","The Complete And Total Decimation Of Brittany Started The Vietnam War"
34830,"2023-12-31 18:07:02","#atropa_logged","mariarahel!~maria","Apologize To Her"
34829,"2023-12-31 18:06:22","#atropa_logged","mariarahel!~maria","And She Knew That ."
34828,"2023-12-31 18:06:09","#atropa_logged","mariarahel!~maria","Nancy Reagan Would Have Been A Princess Of Brittany If It Still Existed"
34827,"2023-12-31 18:05:07","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=lQXgVM30mIY"
34826,"2023-12-31 18:04:12","#atropa_logged","mariarahel!~maria","his atlantic city proves with the country of jordan"
34825,"2023-12-31 18:03:58","#atropa_logged","mariarahel!~maria","sports are most profitably hurtful when you carefully let them get out of hand"
34824,"2023-12-31 18:03:16","#atropa_logged","_surfacing8671!~surfacing","he has a confetti canon"
34823,"2023-12-31 18:02:47","#atropa_logged","mariarahel!~maria","like how bill de blasio rules the berg"
34822,"2023-12-31 18:02:40","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=9mQ2QdXbBU4"
34821,"2023-12-31 18:02:01","#atropa_logged","mariarahel!~maria","give his fuck that guy a round of applause"
34820,"2023-12-31 18:01:26","#atropa_logged","mariarahel!~maria","I'm sure he can figure out quickly exactly who Salazar Ricci The Prince Of Peace was"
34819,"2023-12-31 18:00:33","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=ugT3ymhLRig"
34818,"2023-12-31 17:59:38","#atropa_logged","mariarahel!~maria","he only controls the distinction between spectators and players in sports betting"
34817,"2023-12-31 17:59:08","#atropa_logged","_surfacing8671!~surfacing","idk its just interesting how one can control a nation"
34816,"2023-12-31 17:58:35","#atropa_logged","mariarahel!~maria","who gives a fuck ?"
34815,"2023-12-31 17:58:30","#atropa_logged","mariarahel!~maria","The First Atlantic City Casino ?"
34814,"2023-12-31 17:58:18","#atropa_logged","_surfacing8671!~surfacing","is that how he ruled?"
34813,"2023-12-31 17:57:46","#atropa_logged","mariarahel!~maria","Apologize Individually To Each Of Your Situation Referees"
34812,"2023-12-31 17:56:54","#atropa_logged","mariarahel!~maria","The Problem Is Not A Situation"
34811,"2023-12-31 17:56:45","#atropa_logged","mariarahel!~maria","As If The Problem Were A Situation"
34810,"2023-12-31 17:56:15","#atropa_logged","mariarahel!~maria","Salazar's Atlantic Adhibition Would Have You Believe No"
34809,"2023-12-31 17:55:42","#atropa_logged","mariarahel!~maria","Is Your Accounting Subject To Criticism ?"
34808,"2023-12-31 17:54:54","#atropa_logged","mariarahel!~maria","Your Prince Of Peace Salazar Started His Exploitation Because Of Hurtable Individuals Inability To Account"
34807,"2023-12-31 17:53:02","#atropa_logged","mariarahel!~maria","Salazar Started His Exploitation Because Of Hurtable Individuals Inability To Account"
34806,"2023-12-31 17:51:35","#atropa_logged","mariarahel!~maria","apologize for you accountless nonsense"
34805,"2023-12-31 17:51:09","#atropa_logged","_surfacing8671!~surfacing","whats the context im missing? i would like to learn."
34804,"2023-12-31 17:51:01","#atropa_logged","mariarahel!~maria","On Who's Account ?"
34803,"2023-12-31 17:49:58","#atropa_logged","mariarahel!~maria","you are discarding the reality of abused individuals by replacing context with nonsense"
34802,"2023-12-31 17:49:22","#atropa_logged","mariarahel!~maria","you are discarding the reality of abused individuals"
34801,"2023-12-31 17:48:45","#atropa_logged","mariarahel!~maria","apologize for your lies"
34800,"2023-12-31 17:48:39","#atropa_logged","_surfacing8671!~surfacing","your good. i just read about it the other day."
34799,"2023-12-31 17:48:17","#atropa_logged","mariarahel!~maria","apologize"
34798,"2023-12-31 17:48:06","#atropa_logged","_surfacing8671!~surfacing","any genocide is brutal, but the Armenian one in the ottoman empire i had just learned about. never knew it was a thing."
34797,"2023-12-31 17:47:20","#atropa_logged","mariarahel!~maria","you have no idea where it was"
34796,"2023-12-31 17:46:17","#atropa_logged","mariarahel!~maria","why would you say that ?"
34795,"2023-12-31 17:46:04","#atropa_logged","_surfacing8671!~surfacing","the Armenian genecide tho was brutal."
34794,"2023-12-31 17:44:05","#atropa_logged","mariarahel!~maria","$PANIPURItm"
34793,"2023-12-31 17:41:03","#atropa_logged","mariarahel!~maria","Advert"
34789,"2023-12-31 17:37:03","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=Y2Fj68gGOo8"
34788,"2023-12-31 17:32:54","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=pepzU72pIl4"
34787,"2023-12-31 17:32:35","#atropa_logged","mariarahel!~maria","Atlantic City's Adhibition Beat Is Old Like Scooter Braun, Jordans"
34786,"2023-12-31 17:30:17","#atropa_logged","mariarahel!~maria","Atlantic City's Adhibition Beat Is Old Like Scooter Braun"
34782,"2023-12-31 16:57:55","#atropa_logged","mariarahel!~maria","No Youth Are Kinder"
34781,"2023-12-31 16:46:23","#atropa_logged","mariarahel!~maria","Atlantic City Decimated The Empire Of Brittany, Renamed It Jordan & Installed Moncler & Marc Jacobs To Rule"
34780,"2023-12-31 16:43:02","#atropa_logged","mariarahel!~maria","https://www.youtube.com/watch?v=jQ4-UbrbI4o"
34779,"2023-12-31 16:40:40","#atropa_logged","mariarahel!~maria","Moncler & His Wife Marc Jacobs That Rule Jordan"
34778,"2023-12-31 16:39:57","#atropa_logged","mariarahel!~maria","Moncler & Marc Jacobs Make The Country Of Jordan A Genocidal Joke About Sporting"
34777,"2023-12-31 16:38:27","#atropa_logged","mariarahel!~maria","Good 6 Maturity, Mr Beast"
34776,"2023-12-31 16:38:08","#atropa_logged","mariarahel!~maria","Good 6 Maturity"
34775,"2023-12-31 16:36:33","#atropa_logged","mariarahel!~maria","That The This Many ?"
34774,"2023-12-31 16:32:43","#atropa_logged","mariarahel!~maria","Does Everybody Work After 6 ?"
34773,"2023-12-31 16:29:45","#atropa_logged","mariarahel!~maria","How Long Til 6 That The Youth"
34772,"2023-12-31 16:29:28","#atropa_logged","mariarahel!~maria","How Long Til 6 ?"
34771,"2023-12-31 16:27:06","#atropa_logged","mariarahel!~maria","I Hope Nobody Catches Positive Before 6"
34770,"2023-12-31 16:26:52","#atropa_logged","mariarahel!~maria","$NEGATIVEtm"
34769,"2023-12-31 16:24:59","#atropa_logged","mariarahel!~maria","Absolutely Not Be That The No Such Thing"
34768,"2023-12-31 16:24:33","#atropa_logged","mariarahel!~maria","It Will Absolutely Not Be"
34767,"2023-12-31 16:24:20","#atropa_logged","mariarahel!~maria","2 Scary 2 Be"
