"id","dt_created","dt_updated","dt_deleted","server","port","nick_log","channel","str_print","time_parse","usr_full_parse","usr_loc_parse","usr_parse","msg_parse","msg_type_parse","raw_data"
31626,"2023-12-22 03:19:17","2023-12-22 03:19:17",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-22 03:19:17.31] :SHVDXW9!~SHVDXW9@103.62.49.230 JOIN :#pulsechain
","2023-12-22 03:19:17","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":SHVDXW9!~SHVDXW9@103.62.49.230 JOIN :#pulsechain
"
31622,"2023-12-22 01:13:56","2023-12-22 01:13:56",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-22 01:13:56.00] :SHVDXW9!~SHVDXW9@116.90.74.92 QUIT :Remote host closed the connection
","2023-12-22 01:13:56","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":SHVDXW9!~SHVDXW9@116.90.74.92 QUIT :Remote host closed the connection
"
31387,"2023-12-21 16:22:08","2023-12-21 16:22:08",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 16:22:08.35] :Bennypots!uid631512@id-631512.uxbridge.irccloud.com JOIN :#pulsechain
","2023-12-21 16:22:08","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Bennypots!uid631512@id-631512.uxbridge.irccloud.com JOIN :#pulsechain
"
31181,"2023-12-21 13:27:43","2023-12-21 13:27:43",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 13:27:43.03] :midnightmadwalk!uid622745@id-622745.lymington.irccloud.com QUIT :Quit: Connection closed for inactivity
","2023-12-21 13:27:43","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":midnightmadwalk!uid622745@id-622745.lymington.irccloud.com QUIT :Quit: Connection closed for inactivity
"
31178,"2023-12-21 12:56:37","2023-12-21 12:56:37",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 12:56:37.34] #pulsechain  <FREEDOM_777!sid622718>    GM Pulsechain!","2023-12-21 12:56:37","FREEDOM_777!sid622718@id-622718.hampstead.irccloud.com","@id-622718.hampstead.irccloud.com","FREEDOM_777!sid622718","GM Pulsechain!","PRIVMSG",":FREEDOM_777!sid622718@id-622718.hampstead.irccloud.com PRIVMSG #pulsechain :GM Pulsechain!
"
31175,"2023-12-21 12:38:15","2023-12-21 12:38:15",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 12:38:15.97] #pulsechain  <ogwebchef888!~ogwebchef>    GM","2023-12-21 12:38:15","ogwebchef888!~ogwebchef@2600:1700:5890:8860:a948:db1:1f06:c4b3","@2600:1700:5890:8860:a948:db1:1f06:c4b3","ogwebchef888!~ogwebchef","GM","PRIVMSG",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:a948:db1:1f06:c4b3 PRIVMSG #pulsechain :GM 
"
31163,"2023-12-21 09:27:57","2023-12-21 09:27:57",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 09:27:57.28] :midnightmadwalk!uid622745@id-622745.lymington.irccloud.com JOIN :#pulsechain
","2023-12-21 09:27:57","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":midnightmadwalk!uid622745@id-622745.lymington.irccloud.com JOIN :#pulsechain
"
31155,"2023-12-21 07:18:20","2023-12-21 07:18:20",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 07:18:20.54] :ironclad!uid623023@id-623023.hampstead.irccloud.com QUIT :Quit: Connection closed for inactivity
","2023-12-21 07:18:20","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ironclad!uid623023@id-623023.hampstead.irccloud.com QUIT :Quit: Connection closed for inactivity
"
31148,"2023-12-21 06:01:42","2023-12-21 06:01:42",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 06:01:42.39] :ogwebchef888!~ogwebchef@2600:1700:5890:8860:a948:db1:1f06:c4b3 JOIN :#pulsechain
","2023-12-21 06:01:42","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:a948:db1:1f06:c4b3 JOIN :#pulsechain
"
31149,"2023-12-21 06:01:42","2023-12-21 06:01:42",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 06:01:42.44] :ChanServ!services@services.oftc.net MODE #pulsechain +o ogwebchef888
","2023-12-21 06:01:42","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ChanServ!services@services.oftc.net MODE #pulsechain +o ogwebchef888
"
