"time_parse","usr_parse","msg_parse"
"2023-10-13 01:40:49","mariarahel!~maria","mom can fuck off"
"2023-10-15 00:57:11","mariarahel!~maria","no but their choosing of the gmp-like implementation is related to knowing it fucks up modpow based handshakes"
"2023-10-16 02:17:14","mariarahel!~maria","fuck off"
"2023-10-16 02:17:38","mariarahel!~maria","so fuck off"
"2023-10-16 16:34:40","mariarahel!~maria","Brigham Young Fucked That Up"
"2023-10-16 20:29:05","mariarahel!~maria","fuck off"
"2023-10-16 20:30:23","mariarahel!~maria","fuck off"
"2023-10-16 20:30:57","mariarahel!~maria","you and your prevailing narrative can fuck off"
"2023-10-16 20:31:10","mariarahel!~maria","fuck off"
"2023-10-16 20:32:22","mariarahel!~maria","you will fuck off"
"2023-10-16 20:32:56","mariarahel!~maria","you will find that you are going to fuck off"
"2023-10-16 20:33:49","mariarahel!~maria","fuck off"
"2023-10-16 20:35:27","mariarahel!~maria","fuck off"
"2023-10-16 20:35:44","mariarahel!~maria","i strongly suggest that you fuck off"
"2023-10-16 20:36:53","mariarahel!~maria","you're going to fuck off either way"
"2023-10-16 20:44:40","mariarahel!~maria","Apologise Or You Will Be Forced To Fuck Off"
"2023-10-17 21:01:31","mariarahel!~maria","hence fuck off"
"2023-10-18 23:16:43","mariarahel!~maria","like a god damn fucking vitamin for the wicked"
"2023-10-18 23:18:17","mariarahel!~maria","my fuck off eternally stands"
"2023-10-19 00:02:40","mariarahel!~maria","fuck off b3"
"2023-10-19 16:04:50","mariarahel!~maria","if so then it should fuck off"
"2023-10-19 16:54:11","mariarahel!~maria","if i have my way then court can fuck off"
"2023-10-23 18:00:07","mariarahel!~maria","if you have a lot of crookeds then fuck off"
"2023-10-23 19:41:01","mariarahel!~maria","Fuck Those Guys"
"2023-10-23 19:41:30","mariarahel!~maria","Blow Those Motherfuckers Away"
"2023-11-09 23:15:38","mariarahel!~maria","then fuck off"
"2023-11-10 01:46:08","mariarahel!~maria","they started inventing france in 1928 when it all started to get really fucked up"
"2023-11-10 14:37:55","mariarahel!~maria","They Killed The Fuck Out Of Him"
