"id","time_parse","channel","usr_parse","msg_parse"
34659,"2023-12-31 14:52:35","#pulsechain","xStormsPORTS!~xStormsPO","GM 😊"
34592,"2023-12-31 07:27:56","#pulsechain","xBetaONE!~xBetaONE","🌱 CADUCEUS LFG"
34591,"2023-12-31 07:25:06","#pulsechain","xHysocyaminePLS!~xBetaONE","👨🏽‍💻"
34438,"2023-12-30 22:52:34","#pulsechain","ogwebchef888!~ogwebchef","v1.0.6 PulseX needs fallback condition in case main rpc goes down so it uses g4mm4 or alt rpc that has 100% uptime"
34431,"2023-12-30 22:47:26","#pulsechain","ogwebchef888!~ogwebchef","Kymato dapp and pulsex ipfs copies affected as well"
34429,"2023-12-30 22:46:51","#pulsechain","ogwebchef888!~ogwebchef","main rpc has massive lag apparently"
34428,"2023-12-30 22:46:40","#pulsechain","ogwebchef888!~ogwebchef","https://rpc-pulsechain.g4mm4.io <-- working flawlessly devs"
34162,"2023-12-30 16:22:11","#pulsechain","ogwebchef888!~ogwebchef","GM"
34100,"2023-12-30 14:04:23","#pulsechain","FREEDOM_777!sid622718","GM Pulsechain!"
33922,"2023-12-29 14:16:05","#pulsechain","FREEDOM_777!sid622718","You have to stake $CADUCEUS first and then you can Access Innoxia and TEDDY staking."
33921,"2023-12-29 14:14:35","#pulsechain","ogwebchef888!~ogwebchef","Rewards start tonight"
33920,"2023-12-29 14:13:55","#pulsechain","ogwebchef888!~ogwebchef","Stake $TEDDY to earn Kymato's new farm reward https://app.kymato.xyz/CaduceusSSS"
33811,"2023-12-29 02:37:40","#pulsechain","ogwebchef888!~ogwebchef","Don't sleep on $PLSPUP dev grinding"
33535,"2023-12-28 13:41:58","#pulsechain","FREEDOM_777!sid622718","Thanks for the Caduceus update Kymato dev if you ever see this 🙏 ."
33534,"2023-12-28 13:37:35","#pulsechain","FREEDOM_777!sid622718","GM pulsechain!!"
33245,"2023-12-27 06:25:15","#pulsechain","jj!~oftc-webi","Bill Burr"
32783,"2023-12-25 17:17:19","#pulsechain","ogwebchef888!~ogwebchef","https://www.youtube.com/watch?v=LllJK5DjofM"
32684,"2023-12-25 15:33:30","#pulsechain","FREEDOM_777!sid622718","@ogwebchef888: GM GM GM, one love."
32683,"2023-12-25 15:32:53","#pulsechain","ogwebchef888!~ogwebchef","GM fam @FREEDOM_777"
32660,"2023-12-25 14:29:09","#pulsechain","FREEDOM_777!sid622718","Goodmorning PulseChain, and Merry Christmas."
32262,"2023-12-23 17:34:17","#pulsechain","FREEDOM_777!sid622718","It's a good day 😄"
32259,"2023-12-23 16:30:22","#pulsechain","ogwebchef888!~ogwebchef","Nice one @FREEDOM_777"
32229,"2023-12-23 14:14:56","#pulsechain","FREEDOM_777!sid622718","https://youtu.be/1NhuCMdvldM?si=M0WLTCZb9rQb4Tn4"
31710,"2023-12-22 14:04:33","#pulsechain","ogwebchef888!~ogwebchef","PLS Faucet"
31709,"2023-12-22 14:04:22","#pulsechain","ogwebchef888!~ogwebchef","Go Pulse is doing good things for onboarding no coiners"
31178,"2023-12-21 12:56:37","#pulsechain","FREEDOM_777!sid622718","GM Pulsechain!"
31175,"2023-12-21 12:38:15","#pulsechain","ogwebchef888!~ogwebchef","GM"
30945,"2023-12-20 23:33:10","#pulsechain","ogwebchef888!~ogwebchef","His log is the best out"
30944,"2023-12-20 23:33:02","#pulsechain","ogwebchef888!~ogwebchef","Also cryptojo wallet can use some extra IRC tokens ngl"
30943,"2023-12-20 23:32:20","#pulsechain","ogwebchef888!~ogwebchef","Thoughts? @mariarahel"
30942,"2023-12-20 23:32:10","#pulsechain","ogwebchef888!~ogwebchef","Lil Jap Teddy Bear waking up looks like"
30847,"2023-12-20 19:55:49","#pulsechain","FREEDOM_777!sid622718","Thanks Kymato Dev for the updates if you ever see this 🙏"
30835,"2023-12-20 19:53:05","#pulsechain","ogwebchef888!~ogwebchef","$HYSC looking primed to pop"
30312,"2023-12-19 18:51:33","#pulsechain","BigPoppy!sid622725","https://youtu.be/FvMBIZ8f4tg?feature=shared"
30245,"2023-12-19 14:48:20","#pulsechain","FREEDOM_777!sid622718","Hyoscyamine"
30244,"2023-12-19 14:42:31","#pulsechain","ogwebchef888!~ogwebchef","Don't think it was there last night"
30243,"2023-12-19 14:42:22","#pulsechain","ogwebchef888!~ogwebchef","New pool was added just now HYSC/WPLS"
30234,"2023-12-19 13:56:27","#pulsechain","ogwebchef888!~ogwebchef","💪♾️"
30233,"2023-12-19 13:48:52","#pulsechain","FREEDOM_777!sid622718","I saw that OG 😄"
30232,"2023-12-19 13:48:42","#pulsechain","FREEDOM_777!sid622718","GM PulseChain!!!"
30231,"2023-12-19 13:45:25","#pulsechain","ogwebchef888!~ogwebchef","https://kymato.xyz"
30230,"2023-12-19 13:45:06","#pulsechain","ogwebchef888!~ogwebchef","Check out the ambiguous new kymato front end"
30229,"2023-12-19 13:44:44","#pulsechain","ogwebchef888!~ogwebchef","What's golden #pulsechain fam"
30019,"2023-12-18 01:13:05","#pulsechain","mariarahel!~maria","https://www.youtube.com/watch?v=Fb_cxbPljTs"
29758,"2023-12-16 14:28:11","#pulsechain","FREEDOM_777!sid622718","https://youtu.be/t3LgkrrVaQo?si=3XO-C2-84FLcsNlU"
29576,"2023-12-15 17:15:07","#pulsechain","ogwebchef888!~ogwebchef","Send it"
29574,"2023-12-15 17:09:00","#pulsechain","FREEDOM_777!sid622718","PulseChain!! Lfg"
29522,"2023-12-15 14:12:13","#pulsechain","DunnyHex_!uid629710","GM"
29518,"2023-12-15 14:11:39","#pulsechain","ogwebchef888!~ogwebchef","GM"
29430,"2023-12-14 18:56:21","#pulsechain","ogwebchef888!~ogwebchef","$MUSIC"
29233,"2023-12-14 08:10:34","#pulsechain","DunnyHex_!uid629710","what about the current pulsechain memecoin?"
29232,"2023-12-14 08:10:11","#pulsechain","DunnyHex_!uid629710","hey"
29215,"2023-12-14 04:20:35","#pulsechain","FREEDOM_777!sid622718","PulseChain forever!!"
29011,"2023-12-13 15:35:35","#pulsechain","FREEDOM_777!sid622718","$PLS $PLSX $HEX $ATROPA $pDAI $pWBTC"
29010,"2023-12-13 15:32:48","#pulsechain","FREEDOM_777!sid622718","https://youtu.be/JzQSFMpKf30?si=2ZrPb1l0jCx8BbNq"
28935,"2023-12-12 23:45:32","#pulsechain","ogwebchef888!~ogwebchef","What a great entry"
28934,"2023-12-12 23:45:27","#pulsechain","ogwebchef888!~ogwebchef","Looking good $MUSIC on Pulsechain! https://www.dextools.io/app/en/pulse/pair-explorer/0x6f3b338063ab68b860fa7fa8a879927755b46c67"
28912,"2023-12-12 23:09:40","#pulsechain","SHVDXW9!~SHVDXW9","you can find them here, https://nbaonpulsechain.vercel.app/atropa"
28911,"2023-12-12 23:09:20","#pulsechain","SHVDXW9!~SHVDXW9","<mogley> that's what the logs are for"
28910,"2023-12-12 23:06:57","#pulsechain","SHVDXW9!~SHVDXW9","gm"
28794,"2023-12-12 18:35:20","#pulsechain","mogley!~oftc-webi","Can anyone help me ?"
28793,"2023-12-12 18:35:10","#pulsechain","mogley!~oftc-webi","i need someone who is completely up to date with everything maria has said"
28792,"2023-12-12 18:34:38","#pulsechain","mogley!~oftc-webi","Who can i talk to about the state of the atropa ecosystem ?"
28712,"2023-12-12 17:01:50","#pulsechain","FREEDOM_777!sid622718","GM pulsechain"
28667,"2023-12-12 16:20:09","#pulsechain","ogwebchef888!~ogwebchef","Burnt lp*"
28666,"2023-12-12 16:20:02","#pulsechain","ogwebchef888!~ogwebchef","Best entry looks like its through $TsFi but haven't checked if its burnt. It can run pretty hard once pDai starts picking back up @Hemroif"
28662,"2023-12-12 15:53:37","#pulsechain","Hemroif!~oftc-webi","Yo what do we think of the coin 0x27a4f4db98798098748712f2317774F98cEc7ED5, is it a good buy ?"
28588,"2023-12-11 19:39:37","#pulsechain","ogwebchef888!~ogwebchef","Anyone here use GraphQL to query Pulsechain? Seems a bit limited tbh per checking blockscout docs"
28587,"2023-12-11 19:39:12","#pulsechain","ogwebchef888!~ogwebchef","GM"
28577,"2023-12-11 17:26:16","#pulsechain","FREEDOM_777!sid622718","Pulsechain! GM. Lfg"
28575,"2023-12-11 16:15:27","#pulsechain","DunnyHex_!uid629710","GM"
28513,"2023-12-11 14:31:05","#pulsechain","DunnyHex_!uid629710","yow men"
28300,"2023-12-10 15:48:41","#pulsechain","Binky!~oftc-webi","You think tsfi bubble will burst soon? Would be interesting to see if it can actually moon"
28266,"2023-12-10 14:10:11","#pulsechain","FREEDOM_777!sid622718","GM Pulsechain!!"
27868,"2023-12-08 14:55:15","#pulsechain","ogwebchef888!~ogwebchef","Nioce"
27867,"2023-12-08 14:51:11","#pulsechain","FREEDOM_777!sid622718","Loaded up on some PLSX yesterday at 0.0000125 . Almost 3% of supply bought and burnt already 🔥"
27866,"2023-12-08 14:47:19","#pulsechain","ogwebchef888!~ogwebchef","I'll send some to @mariarahel to add lp with once can bridge over more"
27865,"2023-12-08 14:46:56","#pulsechain","ogwebchef888!~ogwebchef","$MUSIC 0x3fbc7e66500d6a53d8b66f1097ab8b42f161619f"
27864,"2023-12-08 14:46:47","#pulsechain","ogwebchef888!~ogwebchef","GM, bridged over $MUSIC to pulsechain if anyone keen. Most of PLS LP has been burnt"
27859,"2023-12-08 14:28:56","#pulsechain","FREEDOM_777!sid622718","GM pulsechain!!"
27189,"2023-12-07 14:16:44","#pulsechain","ogwebchef888!~ogwebchef","GM"
27184,"2023-12-07 13:09:06","#pulsechain","FREEDOM_777!sid622718","GM pulsechain!!"
27172,"2023-12-07 07:49:46","#pulsechain","Cryptic420!~oftc-webi","kek"
27171,"2023-12-07 07:49:41","#pulsechain","Cryptic420!~oftc-webi","Wen Maria™"
27170,"2023-12-07 07:47:40","#pulsechain","Cryptic420!~oftc-webi","Well, NBA™ has thick liq but I see that bursting alongside TSFi, as it has a ridiculous amount of lp with TSFi, it'll bring no nukes up with it, and no nukes is paired to the lowest liq Atropa coins pretty much, so my answer is, all 666, TSFi, no nukes and then everything else :)"
27169,"2023-12-07 07:45:29","#pulsechain","Binky!~oftc-webi","Liquidities are thinning out in the atropa eco. Which tokens bubble will burst and skyrocket?"
27166,"2023-12-07 07:41:41","#pulsechain","Cryptic420!~oftc-webi","You're back :)"
27165,"2023-12-07 07:41:28","#pulsechain","Cryptic420!~oftc-webi","Hi @mariarahel"
26917,"2023-12-06 14:30:28","#pulsechain","ogwebchef888!~ogwebchef","GM"
26885,"2023-12-06 12:43:14","#pulsechain","FREEDOM_777!sid622718","GM PULSECHAIN LFGG"
26873,"2023-12-06 07:28:51","#pulsechain","alexander_as_helios!alexander_","unrelated to prc20 q"
26872,"2023-12-06 07:28:09","#pulsechain","alexander_as_helios!alexander_","https://n8n.io/ is a good free zapier self host tho"
26871,"2023-12-06 07:26:25","#pulsechain","alexander_as_helios!alexander_","nevermind.. thought it was free for self host but it's feature cucked"
26870,"2023-12-06 07:21:35","#pulsechain","alexander_as_helios!alexander_","https://ctfreak.com/"
